type,latency(ms),packetLoss(%),bandwidth(Mbps),connection_type,qos
cellular,666,8.19,4.46,server,Poor
wifi,88,0.56,38.07,server,Good
wifi,339,4.81,7.46,p2p,Poor
wifi,53,0.59,78.17,p2p,Good
wifi,99,0.78,34.98,server,Good
wifi,82,0.54,45.06,p2p,Good
cellular,511,4.55,2.06,p2p,Poor
wifi,115,0.26,94.32,p2p,Good
cellular,497,6.34,9.17,server,Fair
wifi,224,1.25,4.04,server,Poor
cellular,226,7.29,6.74,server,Fair
wifi,485,2.69,1.09,server,Poor
cellular,767,6.81,9.67,p2p,Poor
cellular,195,1.15,28.41,server,Good
wifi,365,3.07,5.65,p2p,Poor
cellular,269,4.66,7.69,p2p,Poor
wifi,1417,4.56,14.83,p2p,Poor
cellular,581,9.63,7.17,p2p,Poor
cellular,42,0.26,158.79,p2p,Good
cellular,40,0.28,124.11,server,Good
cellular,173,0.77,34.69,server,Good
wifi,90,0.76,28.4,server,Good
wifi,379,4.23,5.84,server,Fair
wifi,141,0.17,75.66,server,Good
cellular,159,0.58,46.62,server,Good
wifi,197,2.52,4.76,server,Poor
cellular,101,1.84,21.42,p2p,Fair
wifi,144,0.77,59.03,server,Good
wifi,23,0.09,188.46,p2p,Excellent
wifi,392,2.85,3.06,p2p,Poor
cellular,69,0.13,84.99,p2p,Good
wifi,48,0.04,257.03,p2p,Excellent
wifi,300,3.53,15.57,p2p,Poor
cellular,757,5.04,6.67,p2p,Poor
cellular,74,0.37,141.39,p2p,Good
wifi,72,0.48,58.49,server,Good
cellular,60,0.05,110.95,p2p,Good
cellular,588,8.26,4.66,server,Poor
wifi,373,4.32,9.02,server,Fair
wifi,383,4.88,21.51,p2p,Poor
wifi,91,0.32,70.36,p2p,Good
wifi,112,0.19,79.1,server,Good
wifi,85,0.29,28.9,server,Good
cellular,267,8.95,2.18,p2p,Poor
wifi,61,0.48,85.04,p2p,Good
wifi,3370,13.89,23.73,p2p,Poor
wifi,123,0.41,53.21,p2p,Fair
cellular,106,2.07,26.87,server,Good
cellular,512,9.64,1.02,p2p,Poor
cellular,199,1.9,32.49,p2p,Fair
cellular,978,8.04,8.42,p2p,Poor
wifi,127,0.15,63.86,p2p,Fair
wifi,21,0.01,216.32,p2p,Excellent
wifi,358,1.88,13.13,server,Good
wifi,34,0.09,291.01,p2p,Excellent
cellular,76,0.5,162.51,server,Good
cellular,56,0.4,113.8,server,Good
wifi,146,0.91,76.84,server,Good
cellular,190,2.39,31.15,p2p,Fair
cellular,130,0.98,14.43,p2p,Poor
cellular,648,3.6,1.9,p2p,Poor
cellular,46,0.21,178.51,server,Good
wifi,967,6.76,28.0,server,Fair
wifi,100,0.57,92.9,p2p,Good
wifi,315,3.1,6.59,p2p,Poor
wifi,91,0.38,49.9,server,Good
cellular,679,7.04,4.07,p2p,Poor
cellular,134,2.09,31.16,p2p,Fair
wifi,344,2.66,1.03,p2p,Poor
cellular,149,2.21,38.01,server,Good
wifi,71,0.25,35.06,p2p,Fair
wifi,3520,5.48,13.58,server,Poor
cellular,871,3.24,1.08,p2p,Poor
cellular,100,0.8,48.84,server,Good
wifi,45,0.09,289.17,server,Good
cellular,101,2.79,47.23,p2p,Fair
cellular,112,1.68,14.81,server,Good
cellular,187,1.73,12.17,server,Good
wifi,22,0.05,269.98,p2p,Excellent
cellular,115,2.51,44.05,server,Good
wifi,186,3.88,20.84,p2p,Fair
wifi,383,2.34,15.13,server,Good
cellular,47,0.09,85.78,p2p,Excellent
wifi,66,0.99,68.4,server,Good
cellular,56,0.28,148.02,p2p,Good
cellular,42,0.11,60.6,server,Good
wifi,112,0.98,62.03,p2p,Good
cellular,702,7.97,3.31,server,Poor
cellular,677,4.49,9.53,server,Fair
cellular,43,0.14,161.02,p2p,Excellent
cellular,971,8.44,4.44,p2p,Poor
cellular,893,6.61,3.93,p2p,Poor
wifi,128,0.12,77.55,p2p,Fair
wifi,119,0.96,31.66,p2p,Fair
cellular,141,1.7,13.41,server,Good
wifi,2606,8.52,19.04,server,Poor
wifi,41,0.04,202.54,server,Good
wifi,480,1.54,24.79,server,Fair
cellular,282,6.55,9.19,server,Fair
cellular,105,1.45,46.4,p2p,Fair
cellular,50,0.21,189.13,p2p,Good
cellular,322,4.05,3.4,p2p,Poor
wifi,15,0.04,183.05,p2p,Excellent
wifi,281,2.54,13.61,server,Good
wifi,37,0.02,293.45,server,Good
cellular,163,2.62,38.7,server,Good
wifi,101,0.33,43.2,server,Good
wifi,82,0.42,64.78,p2p,Good
cellular,48,0.43,150.04,p2p,Good
wifi,127,0.66,46.39,p2p,Fair
wifi,26,0.06,267.64,p2p,Excellent
cellular,386,7.21,6.89,p2p,Poor
cellular,94,0.99,24.47,p2p,Fair
cellular,145,1.97,19.41,server,Good
cellular,79,0.46,165.78,server,Good
wifi,104,0.48,89.26,p2p,Good
wifi,476,1.33,11.05,server,Fair
cellular,51,0.14,87.93,p2p,Excellent
cellular,571,8.08,6.86,server,Fair
wifi,1175,13.79,9.47,p2p,Poor
cellular,98,1.11,28.58,p2p,Fair
cellular,69,0.41,195.35,p2p,Good
wifi,249,3.25,5.19,p2p,Poor
cellular,611,5.04,1.37,server,Poor
wifi,340,1.17,20.05,server,Good
wifi,2654,2.13,13.39,server,Poor
cellular,989,6.21,7.38,server,Fair
wifi,73,0.59,76.24,p2p,Good
wifi,24,0.08,102.63,p2p,Excellent
cellular,151,1.7,21.11,p2p,Fair
wifi,65,0.86,64.31,p2p,Good
wifi,29,0.03,265.51,server,Good
wifi,3013,2.77,38.88,p2p,Poor
wifi,49,0.07,118.46,p2p,Excellent
wifi,35,0.01,160.42,server,Good
cellular,165,1.32,46.55,server,Good
cellular,174,1.18,46.25,p2p,Fair
wifi,3103,9.19,22.74,server,Poor
cellular,194,1.69,28.33,server,Good
wifi,271,2.53,24.14,p2p,Poor
cellular,160,1.5,18.43,server,Good
wifi,420,3.25,9.01,server,Fair
wifi,493,2.18,19.36,p2p,Poor
wifi,3258,3.55,48.39,server,Poor
wifi,53,0.43,32.38,p2p,Fair
cellular,242,6.55,7.88,p2p,Poor
wifi,114,0.59,58.04,server,Good
wifi,1739,5.94,29.25,server,Poor
wifi,285,2.86,21.44,server,Good
wifi,73,0.77,89.84,p2p,Good
cellular,174,1.47,40.59,p2p,Fair
cellular,168,0.52,33.07,p2p,Fair
wifi,134,0.2,76.19,server,Good
cellular,64,0.37,157.33,server,Good
wifi,229,2.36,14.12,p2p,Poor
cellular,73,0.02,115.83,server,Good
wifi,137,0.45,90.39,server,Good
wifi,19,0.01,167.94,server,Good
wifi,25,0.02,185.7,server,Good
wifi,3993,7.47,6.73,server,Poor
cellular,963,9.35,7.98,p2p,Poor
wifi,328,2.09,20.81,server,Good
cellular,132,1.05,15.29,p2p,Fair
wifi,461,3.69,22.66,p2p,Poor
cellular,63,0.25,144.41,server,Good
cellular,50,0.01,77.37,p2p,Good
wifi,895,14.23,30.78,p2p,Poor
cellular,120,1.37,25.78,p2p,Fair
wifi,131,0.22,52.92,p2p,Fair
cellular,70,0.3,199.41,server,Good
wifi,30,0.08,217.44,server,Good
wifi,66,0.79,86.99,server,Good
wifi,3605,1.4,11.91,p2p,Poor
wifi,79,0.19,65.27,p2p,Good
wifi,137,0.11,71.08,p2p,Fair
cellular,133,2.99,31.53,p2p,Fair
wifi,160,3.6,11.08,server,Good
cellular,149,1.31,33.25,server,Good
wifi,100,0.16,82.85,p2p,Good
cellular,173,2.21,37.71,server,Good
wifi,2817,6.92,24.11,server,Poor
cellular,68,0.27,86.1,p2p,Good
cellular,87,1.32,30.77,server,Good
wifi,212,4.97,17.43,server,Good
cellular,113,1.8,30.04,p2p,Fair
cellular,105,1.48,22.36,server,Good
cellular,89,1.48,24.82,p2p,Fair
wifi,442,3.58,17.55,p2p,Poor
cellular,80,1.65,35.76,p2p,Fair
wifi,98,0.89,97.22,server,Good
wifi,25,0.02,273.47,server,Good
wifi,72,0.21,40.8,server,Good
cellular,589,9.63,9.87,server,Fair
wifi,39,0.08,286.37,p2p,Excellent
wifi,3079,12.6,29.02,server,Poor
wifi,153,2.58,11.99,p2p,Poor
cellular,132,2.21,32.75,server,Good
wifi,38,0.03,194.64,p2p,Excellent
wifi,260,1.01,8.65,server,Fair
wifi,111,0.13,56.07,p2p,Good
wifi,2409,7.67,20.15,p2p,Poor
cellular,286,4.17,7.73,p2p,Poor
cellular,113,1.2,10.08,p2p,Poor
wifi,20,0.0,169.13,p2p,Excellent
cellular,67,0.23,87.72,server,Good
wifi,2735,11.15,23.51,p2p,Poor
wifi,134,0.13,47.35,p2p,Fair
wifi,2165,2.1,41.88,p2p,Poor
cellular,71,0.17,99.46,p2p,Good
cellular,150,1.21,25.55,p2p,Fair
wifi,3580,11.09,32.32,server,Poor
cellular,181,0.69,37.37,p2p,Fair
wifi,1576,13.02,33.63,p2p,Poor
wifi,120,0.27,38.58,server,Good
wifi,1992,2.67,42.56,p2p,Poor
cellular,107,0.9,15.28,p2p,Fair
cellular,416,8.87,1.65,p2p,Poor
cellular,376,7.94,4.35,server,Poor
wifi,894,9.14,27.72,server,Fair
wifi,149,0.28,52.71,p2p,Fair
wifi,2238,12.56,22.77,server,Poor
wifi,106,0.34,97.91,server,Good
cellular,459,4.2,7.77,p2p,Poor
cellular,114,2.17,22.2,server,Good
wifi,18,0.05,190.89,server,Good
wifi,1081,13.31,10.37,p2p,Poor
wifi,368,4.98,10.84,server,Good
wifi,3500,3.13,17.81,p2p,Poor
cellular,94,1.78,20.15,server,Good
cellular,57,0.24,173.06,server,Good
cellular,781,6.0,7.94,p2p,Poor
wifi,600,8.48,21.12,server,Fair
cellular,63,0.31,130.37,p2p,Good
cellular,78,0.43,52.24,p2p,Good
cellular,184,1.29,18.33,server,Good
cellular,64,0.25,57.17,server,Good
wifi,138,0.93,91.76,server,Good
wifi,402,3.59,21.39,p2p,Poor
cellular,882,7.03,2.64,p2p,Poor
wifi,33,0.05,177.05,server,Good
wifi,3346,12.18,26.54,p2p,Poor
wifi,440,4.14,2.95,p2p,Poor
wifi,19,0.03,101.98,p2p,Excellent
cellular,69,0.26,113.5,p2p,Good
wifi,396,3.16,13.83,server,Good
cellular,150,1.36,48.87,p2p,Fair
wifi,230,4.22,16.34,server,Good
wifi,160,1.55,5.79,p2p,Poor
wifi,28,0.02,261.08,p2p,Excellent
wifi,455,2.65,21.87,server,Fair
cellular,40,0.04,69.39,p2p,Good
wifi,492,3.59,7.09,server,Fair
cellular,70,0.03,188.37,p2p,Good
wifi,37,0.06,113.68,server,Good
cellular,46,0.22,153.45,p2p,Good
cellular,41,0.25,87.23,p2p,Good
wifi,142,0.97,74.2,server,Good
cellular,395,7.72,3.72,server,Poor
wifi,71,0.92,44.83,server,Good
cellular,292,8.98,7.02,p2p,Poor
wifi,61,0.23,76.23,server,Good
cellular,55,0.04,199.23,p2p,Excellent
cellular,173,1.46,22.42,server,Good
cellular,566,8.25,2.73,server,Poor
cellular,79,0.45,82.01,server,Good
wifi,111,0.37,62.98,server,Good
wifi,58,0.44,41.46,p2p,Good
wifi,251,4.83,24.38,server,Good
cellular,44,0.05,129.52,p2p,Excellent
wifi,321,2.24,18.43,server,Good
wifi,489,2.68,5.1,server,Fair
cellular,134,0.69,39.38,server,Good
wifi,121,0.17,92.98,server,Good
cellular,50,0.28,171.49,p2p,Good
cellular,148,2.82,45.28,p2p,Fair
cellular,82,0.67,47.52,p2p,Good
wifi,28,0.04,148.09,server,Good
cellular,319,9.97,7.55,server,Fair
cellular,128,1.77,16.5,server,Good
wifi,98,0.52,71.94,server,Good
wifi,144,0.81,51.52,p2p,Fair
wifi,2572,13.04,26.35,server,Poor
wifi,48,0.07,266.83,p2p,Excellent
cellular,971,8.3,5.25,p2p,Poor
wifi,29,0.04,189.55,server,Good
cellular,135,1.57,10.11,server,Good
wifi,1338,10.01,34.36,p2p,Poor
wifi,392,4.55,10.21,server,Good
wifi,147,0.5,98.06,p2p,Fair
cellular,704,9.94,4.33,server,Poor
cellular,196,2.77,11.39,p2p,Poor
wifi,24,0.01,229.15,p2p,Excellent
cellular,424,9.77,1.6,server,Poor
wifi,71,0.94,98.74,p2p,Good
cellular,55,0.06,126.0,server,Good
wifi,149,0.82,49.84,server,Good
cellular,162,2.71,16.81,server,Good
cellular,57,0.32,80.41,server,Good
cellular,702,4.97,8.47,p2p,Poor
cellular,86,1.02,38.56,p2p,Fair
cellular,540,4.17,9.57,server,Fair
wifi,483,2.08,14.09,server,Fair
cellular,830,5.74,8.69,p2p,Poor
wifi,174,3.1,8.97,p2p,Poor
wifi,50,0.22,54.68,p2p,Good
cellular,178,0.79,44.43,p2p,Fair
wifi,225,4.96,16.23,server,Good
wifi,45,0.0,119.15,p2p,Excellent
wifi,124,0.47,92.36,p2p,Fair
